arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ ps aux --sort=-%mem | awk 'NR==2 {print $2}'2360
arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ kill -9 2360
arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ ps aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.3  22928 13884 ?        Ss   19:46   0:01 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    19:46   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    19:46   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-netns]
root           8  0.0  0.0      0     0 ?        I    19:46   0:00 [kworker/0:0-rcu_par_gp]
root           9  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/0:0H-kblockd]
root          12  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    19:46   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    19:46   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    19:46   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    19:46   0:00 [ksoftirqd/0]
root          17  0.0  0.0      0     0 ?        I    19:46   0:01 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    19:46   0:00 [migration/0]
root          19  0.0  0.0      0     0 ?        S    19:46   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    19:46   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    19:46   0:00 [cpuhp/1]
root          22  0.0  0.0      0     0 ?        S    19:46   0:00 [idle_inject/1]
root          23  0.0  0.0      0     0 ?        S    19:46   0:00 [migration/1]
root          24  0.0  0.0      0     0 ?        S    19:46   0:00 [ksoftirqd/1]
root          26  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/1:0H-kblockd]
root          28  0.1  0.0      0     0 ?        I    19:46   0:01 [kworker/u258:0-events_freezable_power_]
root          29  0.0  0.0      0     0 ?        S    19:46   0:00 [kdevtmpfs]
root          30  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-inet_]
root          32  0.0  0.0      0     0 ?        S    19:46   0:00 [kauditd]
root          34  0.0  0.0      0     0 ?        S    19:46   0:00 [khungtaskd]
root          35  0.0  0.0      0     0 ?        S    19:46   0:00 [oom_reaper]
root          37  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-write]
root          38  0.0  0.0      0     0 ?        S    19:46   0:00 [kcompactd0]
root          39  0.0  0.0      0     0 ?        SN   19:46   0:00 [ksmd]
root          42  0.0  0.0      0     0 ?        SN   19:46   0:00 [khugepaged]
root          43  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-kinte]
root          44  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-kbloc]
root          45  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-blkcg]
root          46  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/9-acpi]
root          47  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-tpm_d]
root          48  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-ata_s]
root          49  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-md]
root          50  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-md_bi]
root          51  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-edac-]
root          52  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-devfr]
